idseq,datetime,subtype,srcip,srcport,srcintf,dstip,dstport,dstintf,action,sentpkt,rcvdpkt,duration,service,devtype,level,crscore,crlevel,is_attack
,2025-10-07 08:59:43,forward,87.120.191.70,49240,wan1,220.130.36.69,60001,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:59:43,forward,87.120.191.70,49240,wan1,220.130.36.69,60001,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:59:42,forward,156.225.0.36,58914,wan1,220.130.36.69,13666,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:59:42,forward,156.225.0.36,58914,wan1,220.130.36.69,13666,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:59:37,forward,162.142.125.229,35455,wan1,220.130.36.69,2518,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:59:37,forward,162.142.125.229,35455,wan1,220.130.36.69,2518,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:59:36,forward,112.4.101.82,41756,wan1,220.130.36.69,9694,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:59:36,forward,112.4.101.82,41756,wan1,220.130.36.69,9694,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:59:32,forward,112.4.101.70,41950,wan1,220.130.36.69,4416,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:59:32,forward,112.4.101.70,41950,wan1,220.130.36.69,4416,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:59:30,forward,10.4.168.70,9080,internal1,61.65.6.129,5060,wan1,accept,1932902,1927927,7246718,sip,unknown,notice,0,none,0
,2025-10-07 08:59:27,forward,211.222.29.218,42065,wan1,220.130.36.69,23,internal1,timeout,1,0,11,telnet,unknown,notice,0,none,0
,2025-10-07 08:59:27,forward,211.222.29.218,42065,wan1,220.130.36.69,23,internal1,ipconn,0,0,0,telnet,unknown,warning,5,low,1
,2025-10-07 08:59:15,forward,45.136.68.51,56340,wan1,220.130.36.69,6065,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:59:15,forward,45.136.68.51,56340,wan1,220.130.36.69,6065,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:59:13,forward,45.136.68.52,56386,wan1,220.130.36.69,50799,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:59:13,forward,45.136.68.52,56386,wan1,220.130.36.69,50799,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:59:11,forward,59.153.148.20,56882,wan1,220.130.36.69,62735,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:59:11,forward,59.153.148.20,56882,wan1,220.130.36.69,62735,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:59:09,forward,45.136.68.52,56386,wan1,220.130.36.69,1018,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:59:09,forward,45.136.68.52,56386,wan1,220.130.36.69,1018,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:58:48,forward,10.4.168.70,9080,internal1,61.61.136.70,5060,wan1,accept,1288322,1287238,7246682,sip,unknown,notice,0,none,0
,2025-10-07 08:58:43,forward,43.96.62.3,0,wan1,220.130.36.69,0,internal1,accept,1,0,61,ping,unknown,notice,0,none,0
,2025-10-07 08:58:43,forward,43.96.62.3,0,wan1,220.130.36.69,0,internal1,ipconn,0,0,0,icmp0,unknown,warning,5,low,1
,2025-10-07 08:58:43,forward,65.49.1.141,41512,wan1,220.130.36.69,8081,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:58:43,forward,65.49.1.141,41512,wan1,220.130.36.69,8081,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:58:34,forward,45.136.68.53,56414,wan1,220.130.36.69,16101,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:58:34,forward,45.136.68.53,56414,wan1,220.130.36.69,16101,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:58:31,forward,10.4.168.70,9080,internal1,61.65.15.173,5060,wan1,accept,1946777,1940538,7246666,sip,unknown,notice,0,none,0
,2025-10-07 08:58:29,forward,10.4.168.70,9080,internal1,61.30.27.170,7760,wan1,accept,773915,72512,7246659,unknown,unknown,notice,0,none,0
,2025-10-07 08:58:22,forward,149.102.148.124,58137,wan1,220.130.36.69,25485,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:58:22,forward,149.102.148.124,58137,wan1,220.130.36.69,25485,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
