idseq,datetime,subtype,srcip,srcport,srcintf,dstip,dstport,dstintf,action,sentpkt,rcvdpkt,duration,service,devtype,level,crscore,crlevel,is_attack,pkt_total,pkt_ratio,pkt_rate,sent_rate,rcvd_rate,inv_duration,duration_zero_flag,rcvd_zero_flag,pkt_total_pctl90,pkt_total_qbin,pkt_total_qrank,dstport_bucket,is_common_port,proto_port,sub_action,svc_action,pkt_rate_z,pkt_rate_outlier,burst_sent_p99,proto_port_code,sub_action_code,svc_action_code
,2025-10-07 08:59:43,1,87.120.191.70,49240,-1,220.130.36.69,60001,-1,9,1.0,0.0,11.0,0,-1,1,0,0,0,1.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0,1,1,3,0.6811876896402254,3,0,0|60001,1|9,0|9,0.0,0,0,518541096,44567127,2735820480
,2025-10-07 08:59:43,1,87.120.191.70,49240,-1,220.130.36.69,60001,-1,-1,0.0,0.0,0.0,0,-1,2,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0.22854356306892068,3,0,0|60001,1|-1,0|-1,-0.6744907594765952,0,0,518541096,2621595096,387804096
,2025-10-07 08:59:42,1,156.225.0.36,58914,-1,220.130.36.69,13666,-1,9,1.0,0.0,11.0,0,-1,1,0,0,0,1.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0,1,1,3,0.6811876896402254,2,0,0|13666,1|9,0|9,0.0,0,0,1590090452,44567127,2735820480
,2025-10-07 08:59:42,1,156.225.0.36,58914,-1,220.130.36.69,13666,-1,-1,0.0,0.0,0.0,0,-1,2,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0.22854356306892068,2,0,0|13666,1|-1,0|-1,-0.6744907594765952,0,0,1590090452,2621595096,387804096
,2025-10-07 08:59:37,1,162.142.125.229,35455,-1,220.130.36.69,2518,-1,9,1.0,0.0,11.0,0,-1,1,0,0,0,1.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0,1,1,3,0.6811876896402254,2,0,0|2518,1|9,0|9,0.0,0,0,4107088252,44567127,2735820480
,2025-10-07 08:59:37,1,162.142.125.229,35455,-1,220.130.36.69,2518,-1,-1,0.0,0.0,0.0,0,-1,2,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0.22854356306892068,2,0,0|2518,1|-1,0|-1,-0.6744907594765952,0,0,4107088252,2621595096,387804096
,2025-10-07 08:59:36,1,112.4.101.82,41756,-1,220.130.36.69,9694,-1,9,1.0,0.0,11.0,0,-1,1,0,0,0,1.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0,1,1,3,0.6811876896402254,2,0,0|9694,1|9,0|9,0.0,0,0,409589980,44567127,2735820480
,2025-10-07 08:59:36,1,112.4.101.82,41756,-1,220.130.36.69,9694,-1,-1,0.0,0.0,0.0,0,-1,2,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0.22854356306892068,2,0,0|9694,1|-1,0|-1,-0.6744907594765952,0,0,409589980,2621595096,387804096
,2025-10-07 08:59:32,1,112.4.101.70,41950,-1,220.130.36.69,4416,-1,9,1.0,0.0,11.0,0,-1,1,0,0,0,1.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0,1,1,3,0.6811876896402254,2,0,0|4416,1|9,0|9,0.0,0,0,4190140003,44567127,2735820480
,2025-10-07 08:59:32,1,112.4.101.70,41950,-1,220.130.36.69,4416,-1,-1,0.0,0.0,0.0,0,-1,2,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0.22854356306892068,2,0,0|4416,1|-1,0|-1,-0.6744907594765952,0,0,4190140003,2621595096,387804096
,2025-10-07 08:59:30,1,10.4.168.70,9080,-1,61.65.6.129,5060,-1,1,1932902.0,1927927.0,7246718.0,31,-1,1,0,0,0,3860829.0,1.002580491896218,0.5327693170894742,0.26672791738273793,0.2660413997067362,1.3799350271391823e-07,0,0,1,3,0.9837451235370611,2,1,31|5060,1|1,31|1,3.2783370349279752,0,0,113089844,3571441875,2205555514
,2025-10-07 08:59:27,1,211.222.29.218,42065,-1,220.130.36.69,23,-1,9,1.0,0.0,11.0,39,-1,1,0,0,0,1.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0,1,1,3,0.6811876896402254,1,1,39|23,1|9,39|9,0.0,0,0,4176019,44567127,662837992
,2025-10-07 08:59:27,1,211.222.29.218,42065,-1,220.130.36.69,23,-1,-1,0.0,0.0,0.0,39,-1,2,5,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0.22854356306892068,1,1,39|23,1|-1,39|-1,-0.6744907594765952,0,0,4176019,2621595096,232344232
,2025-10-07 08:59:15,1,45.136.68.51,56340,-1,220.130.36.69,6065,-1,9,1.0,0.0,11.0,0,-1,1,0,0,0,1.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0,1,1,3,0.6811876896402254,2,0,0|6065,1|9,0|9,0.0,0,0,1486584909,44567127,2735820480
